event_time	order_id	product_id	category_id	category_code	brand	price	user_id
2020-04-29 11:59:50 UTC	2.29798843657486E+018	1.51596622350926E+018	2.26810542859433E+018	electronics.clocks	apple	317.11	1.51591562544148E+018
2020-04-29 12:00:59 UTC	2.29798901772085E+018	1.51596622350909E+018	2.37449891400059E+018	electronics.video.tv	ava	162.01	1.51591562544829E+018
2020-04-29 12:00:59 UTC	2.29798901772085E+018	1.51596622350909E+018	2.37449891400059E+018	electronics.video.tv	ava	162.01	1.51591562544829E+018
2020-04-29 12:05:34 UTC	2.29799132092223E+018	1.51596622350912E+018	2.26810544224259E+018		barjher	9.24	1.51591562544151E+018
2020-04-29 12:05:34 UTC	2.29799132092223E+018	1.51596622350913E+018	2.26810544004478E+018	appliances.personal.scales	polaris	21.97	1.51591562544151E+018
2020-04-29 12:09:12 UTC	2.29799314932839E+018	1.5159662235093E+018	2.26810539346284E+018	country_yard.weather_station	beurer	23.12	1.51591562545021E+018
2020-04-29 12:09:13 UTC	2.29799315785961E+018	1.51596622350909E+018	2.26810542816651E+018	electronics.smartphone	samsung	161.78	1.51591562544245E+018
2020-04-29 12:09:53 UTC	2.29799348970455E+018	2.2739483191159E+018	2.26810544110174E+018	appliances.kitchen.blender	polaris	43.96	1.51591562544643E+018
2020-04-29 12:10:33 UTC	2.2979938309699E+018	2.27394818671011E+018	2.26810544509472E+018		schwiizer	20.81	1.51591562545219E+018
2020-04-29 12:13:52 UTC	2.29799550099076E+018	1.5159662235091E+018	2.26810542816651E+018	electronics.smartphone	samsung	300.9	1.51591562545215E+018
2020-04-29 12:17:26 UTC	2.29799729310781E+018	1.51596622350909E+018	2.26810542816651E+018	electronics.smartphone	samsung	254.61	1.51591562544593E+018
2020-04-29 12:20:08 UTC	2.29799865317799E+018	1.5159662235091E+018	2.26810542816651E+018	electronics.smartphone	samsung	300.9	1.51591562545213E+018
2020-04-29 12:24:04 UTC	2.29800063525506E+018	1.51596622350912E+018	2.26810540244704E+018	appliances.personal.scales	scarlett	18.5	1.51591562544475E+018


